Date,Open,High,Low,Close,Adj Close,Volume
2016-07-28,69.699997,69.839996,68.260002,68.699997,63.814922,145900
2016-07-29,68.349998,68.690002,67.099998,68.000000,63.164703,197300
2016-08-01,68.339996,70.019997,68.239998,69.400002,64.465157,377200
2016-08-02,69.989998,69.989998,68.440002,69.320000,64.390839,443100
2016-08-03,68.669998,68.669998,64.650002,66.180000,61.474129,573200
2016-08-04,65.889999,68.000000,65.750000,66.400002,61.678482,354000
2016-08-05,66.849998,67.970001,66.709999,67.199997,62.421593,192500
2016-08-08,67.550003,68.150002,65.900002,66.059998,61.362648,224900
2016-08-09,66.190002,67.360001,66.190002,66.680000,61.938572,302600
2016-08-10,66.690002,67.250000,66.089996,66.669998,62.387737,136700
2016-08-11,66.970001,67.690002,65.839996,65.889999,61.657833,183600
2016-08-12,65.779999,66.629997,65.720001,66.400002,62.135071,131800
2016-08-15,66.449997,66.949997,66.050003,66.129997,61.882412,117400
2016-08-16,65.919998,65.930000,64.699997,64.750000,60.591064,165000
2016-08-17,64.540001,64.940002,64.129997,64.389999,60.254185,140000
2016-08-18,64.180000,65.040001,64.050003,64.820000,60.656567,131100
2016-08-19,64.750000,64.870003,64.120003,64.199997,60.076378,129100
2016-08-22,64.190002,64.779999,63.790001,64.489998,60.347763,140500
2016-08-23,64.680000,65.199997,64.430000,64.550003,60.403908,185800
2016-08-24,64.260002,64.470001,63.509998,63.830002,59.730160,228700
2016-08-25,63.549999,64.300003,63.549999,63.980000,59.870518,174000
2016-08-26,64.300003,64.370003,62.540001,62.720001,58.691444,172300
2016-08-29,62.509998,62.910000,62.509998,62.700001,58.672729,246700
2016-08-30,62.110001,62.799999,62.040001,62.380001,58.373291,147300
2016-08-31,62.320000,62.639999,60.730000,61.290001,57.353298,237600
2016-09-01,61.529999,62.310001,61.299999,62.180000,58.186138,180000
2016-09-02,62.320000,62.779999,59.520000,60.650002,56.754410,375400
2016-09-06,60.540001,60.910000,59.689999,60.160000,56.295879,389300
2016-09-07,59.799999,60.709999,59.799999,60.639999,56.745052,334200
2016-09-08,60.480000,60.669998,59.720001,59.810001,55.968361,194500
2016-09-09,59.619999,59.880001,57.849998,57.880001,54.162327,303300
2016-09-12,57.509998,57.509998,56.160000,56.430000,52.805458,560200
2016-09-13,56.270000,56.750000,55.509998,56.160000,52.552803,296800
2016-09-14,56.200001,56.639999,54.790001,55.169998,51.626392,228700
2016-09-15,54.939999,55.970001,54.650002,55.830002,52.243999,278200
2016-09-16,55.840000,55.840000,54.880001,55.090000,51.551533,248600
2016-09-19,55.250000,56.279999,55.250000,55.560001,51.991341,180700
2016-09-20,55.700001,55.860001,54.410000,54.430000,50.933918,230100
2016-09-21,54.639999,55.970001,54.639999,55.959999,52.365646,169400
2016-09-22,56.340000,56.950001,55.580002,56.220001,52.608952,186300
2016-09-23,56.250000,56.779999,56.070000,56.580002,52.945827,228200
2016-09-26,56.630001,56.849998,55.630001,56.580002,52.945827,283200
2016-09-27,56.570000,56.810001,56.080002,56.669998,53.030041,163400
2016-09-28,56.919998,57.310001,56.400002,57.259998,53.582150,197100
2016-09-29,57.250000,57.860001,56.750000,57.130001,53.460503,141900
2016-09-30,57.189999,58.099998,57.000000,57.759998,54.050034,164900
2016-10-03,57.790001,57.900002,57.240002,57.470001,53.778660,173700
2016-10-04,57.470001,57.470001,56.490002,57.020000,53.357567,180800
2016-10-05,57.330002,57.990002,56.689999,56.709999,53.067474,153000
2016-10-06,56.400002,56.500000,55.349998,56.130001,52.524738,173900
2016-10-07,56.020000,56.070000,55.360001,55.889999,52.300144,132800
2016-10-10,55.700001,57.000000,55.500000,56.799999,53.151691,78200
2016-10-11,56.799999,56.950001,55.599998,55.900002,52.309502,127900
2016-10-12,56.000000,57.090000,55.720001,56.700001,53.058113,89200
2016-10-13,56.500000,57.200001,56.099998,56.700001,53.058113,126800
2016-10-14,57.200001,57.450001,56.799999,56.900002,53.245277,94200
2016-10-17,57.200001,58.700001,57.099998,58.250000,54.508564,203300
2016-10-18,58.799999,59.000000,57.849998,58.450001,54.695717,156100
2016-10-19,58.400002,59.650002,58.400002,59.549999,55.725056,160900
2016-10-20,59.599998,59.950001,58.450001,59.700001,55.865433,166600
2016-10-21,59.400002,59.950001,58.500000,59.849998,56.005787,114700
2016-10-24,60.000000,60.799999,60.000000,60.599998,56.707615,155600
2016-10-25,60.700001,60.700001,59.779999,60.200001,56.333317,130100
2016-10-26,60.049999,60.500000,59.150002,59.250000,55.444336,153900
2016-10-27,59.450001,59.560001,58.250000,58.900002,55.116814,130800
2016-10-28,58.799999,60.000000,58.799999,59.400002,55.584690,169200
2016-10-31,59.349998,61.650002,58.750000,61.500000,57.549809,250000
2016-11-01,61.500000,61.900002,59.919998,60.700001,56.801201,290000
2016-11-02,61.750000,62.700001,60.250000,61.849998,57.877323,310400
2016-11-03,62.000000,63.150002,61.299999,62.349998,58.345211,212400
2016-11-04,62.549999,64.250000,62.299999,63.900002,59.795654,274100
